Experiment,Site,Date,Sample,Name,Cas9,X_lab,Indel_stringent,Indel,Reads_low_phred,Reads_no_nmer,Reads_passing,Total_indel_stringent,Total_indel,X_order
2,VEGFAg3 OT2,08.09.17,080917_C_d2_4_3_VEGFg3_OT2_S516_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_WT_d1_1-4_3,WT, WT + 4,0.838364399,0.843637131,13481,8683,37931,318,320,
2,VEGFAg3 OT2,08.09.17,080917_E_1_VEGFg3_OT2_S499_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_GFP_1,ECas9, E + -,17.5548079,17.80442804,12883,7438,36856,6470,6562,3
2,VEGFAg3 OT2,08.09.17,080917_E_2_VEGFg3_OT2_S500_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_GFP_2,ECas9, E + -,16.61114736,16.87557952,10871,7263,29119,4837,4914,3
2,VEGFAg3 OT2,08.09.17,080917_E_3_VEGFg3_OT2_S501_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_GFP_3,ECas9, E + -,17.68796992,17.85714286,9626,6404,26600,4705,4750,3
2,VEGFAg3 OT2,08.09.17,080917_E_d2_1_1_VEGFg3_OT2_S502_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_d1_1-1_1,ECas9, E + 1,0.573613767,0.669216061,35376,4194,1046,6,7,4
2,VEGFAg3 OT2,08.09.17,080917_E_d2_1_2_VEGFg3_OT2_S503_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_d1_1-1_2,ECas9, E + 1,0.988593156,1.140684411,22224,2759,1315,13,15,4
2,VEGFAg3 OT2,08.09.17,080917_E_d2_1_3_VEGFg3_OT2_S504_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_d1_1-1_3,ECas9, E + 1,1.239486498,1.372288623,32352,3557,2259,28,31,4
2,VEGFAg3 OT2,08.09.17,080917_E_d2_4_1_VEGFg3_OT2_S505_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_d1_1-4_1,ECas9, E + 4,0.304612707,0.391644909,36687,4963,2298,7,9,
2,VEGFAg3 OT2,08.09.17,080917_E_d2_4_2_VEGFg3_OT2_S506_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_d1_1-4_2,ECas9, E + 4,0.403587444,0.538116592,32808,5761,2230,9,12,
2,VEGFAg3 OT2,08.09.17,080917_E_d2_4_3_VEGFg3_OT2_S507_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_ECas9_d1_1-4_3,ECas9, E + 4,0.50414116,0.684191574,47813,5850,2777,14,19,
2,VEGFAg3 OT2,08.09.17,080917_H_1_VEGFg3_OT2_S517_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_GFP_1,HF1, HF1 + -,1.383196721,1.485655738,30568,3507,1952,27,29,5
2,VEGFAg3 OT2,08.09.17,080917_H_2_VEGFg3_OT2_S518_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_GFP_2,HF1, HF1 + -,1.653439153,1.653439153,22508,3238,1512,25,25,5
2,VEGFAg3 OT2,08.09.17,080917_H_3_VEGFg3_OT2_S519_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_GFP_3,HF1, HF1 + -,1.521577261,1.537764253,12910,8475,30889,470,475,5
2,VEGFAg3 OT2,08.09.17,080917_H_d2_1_1_VEGFg3_OT2_S520_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-1_1,HF1, HF1 + 1,0.160307791,0.288554024,42193,4629,3119,5,9,6
2,VEGFAg3 OT2,08.09.17,080917_H_d2_1_2_VEGFg3_OT2_S521_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-1_2,HF1, HF1 + 1,0.169395822,0.451722191,30799,3969,1771,3,8,6
2,VEGFAg3 OT2,08.09.17,080917_H_d2_1_3_VEGFg3_OT2_S522_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-1_3,HF1, HF1 + 1,0.28358738,0.389932648,42073,5243,2821,8,11,6
2,VEGFAg3 OT2,08.09.17,080917_H_d2_4_1_VEGFg3_OT2_S523_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-4_1,HF1, HF1 + 4,0.270897833,0.464396285,52206,6540,2584,7,12,
2,VEGFAg3 OT2,08.09.17,080917_H_d2_4_2_VEGFg3_OT2_S524_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-4_2,HF1, HF1 + 4,0.129770386,0.140363887,13715,8704,37759,49,53,
2,VEGFAg3 OT2,08.09.17,080917_H_d2_4_3_VEGFg3_OT2_S525_R1_001.fastqwtf-difflib_indels.csv,VEGFg3_HF1_d1_1-4_3,HF1, HF1 + 4,0.357355569,0.41691483,26446,2311,1679,6,7,
2,VEGFAg3 OT2,08.09.17,080917_NT_1_VEGFg3_OT2_S526_R1_001.fastqwtf-difflib_indels.csv,NT_1,WT, - - -,0.1,0.2,16477,2352,1000,1,2,7
2,VEGFAg3 OT2,08.09.17,080917_NT_2_VEGFg3_OT2_S527_R1_001.fastqwtf-difflib_indels.csv,NT_2,WT, - - -,0.203665988,0.407331976,30242,2981,1964,4,8,7
2,VEGFAg3 OT2,08.09.17,080917_NT_3_VEGFg3_OT2_S528_R1_001.fastqwtf-difflib_indels.csv,NT_3,WT, - - -,0.401785714,0.580357143,34882,3007,2240,9,13,7
2,VEGFAg3 OT2,08.09.17,080917_NT_1_VEGFg3_OT2_S526_R1_001.fastqwtf-difflib_indels.csv,NT_1,ECas9, - - -,0.1,0.2,16477,2352,1000,1,2,7
2,VEGFAg3 OT2,08.09.17,080917_NT_2_VEGFg3_OT2_S527_R1_001.fastqwtf-difflib_indels.csv,NT_2,ECas9, - - -,0.203665988,0.407331976,30242,2981,1964,4,8,7
2,VEGFAg3 OT2,08.09.17,080917_NT_3_VEGFg3_OT2_S528_R1_001.fastqwtf-difflib_indels.csv,NT_3,ECas9, - - -,0.401785714,0.580357143,34882,3007,2240,9,13,7
2,VEGFAg3 OT2,08.09.17,080917_NT_1_VEGFg3_OT2_S526_R1_001.fastqwtf-difflib_indels.csv,NT_1,HF1, - - -,0.1,0.2,16477,2352,1000,1,2,7
2,VEGFAg3 OT2,08.09.17,080917_NT_2_VEGFg3_OT2_S527_R1_001.fastqwtf-difflib_indels.csv,NT_2,HF1, - - -,0.203665988,0.407331976,30242,2981,1964,4,8,7
2,VEGFAg3 OT2,08.09.17,080917_NT_3_VEGFg3_OT2_S528_R1_001.fastqwtf-difflib_indels.csv,NT_3,HF1, - - -,0.401785714,0.580357143,34882,3007,2240,9,13,7
